seed,neuron,frequency,single_fve,sum_fve,phase,amplitude
0,262,34,4.208691631e-06,1.315308244e-08,-2.729524441,0.01845496331
0,262,50,0.9669890707,0.1674399851,-2.875185729,65.84594023
0,263,5,0.2570546281,0.2011956371,-1.236756037,13.45045309
0,263,17,0.003104611883,4.371372698e-07,2.357023509,0.01982606622
0,263,24,0.2885756612,0.1277807937,0.1753019509,10.7191519
0,263,34,0.0006691663964,2.288379664e-08,2.058131548,0.004536194571
0,263,50,0.2281865941,0.209229005,-0.5420390866,13.71635066
0,264,5,0.0001093839551,2.605027616e-05,-2.75898343,0.529437292
0,264,17,0.9726131179,0.08363102906,2.251869146,29.99798496
0,264,24,0.0006199005714,6.357555639e-05,0.591350828,0.8270912903
0,264,34,0.004689415847,0.001795937229,1.328412977,4.395962099
0,264,50,0.0003559409698,0.000196531012,-1.939023072,1.454199222
0,265,5,0.9666347929,0.1553969508,0.4616610239,68.65290645
0,265,17,4.255003436e-05,4.397615935e-10,2.565046195,0.00365213086
0,265,24,0.0002906128638,8.317372121e-05,0.2820613839,1.58829346
0,265,34,7.799456383e-06,1.384610371e-07,-1.53433104,0.06480394902
0,265,50,0.0002653643466,5.483365409e-05,0.869550145,1.289618562
0,266,5,0.0001477851817,0.0001128844596,2.896067458,1.268079781
0,266,17,0.9727998735,0.08405646802,1.956332351,34.60310474
0,266,24,0.0005005253377,5.18100395e-05,0.9267341244,0.8590856414
0,266,34,0.004911187027,0.001858299303,0.7344664406,5.14502312
0,266,50,0.0002426955453,0.0001366109927,-1.828577023,1.394993944
0,267,5,0.0001079142997,6.629846145e-05,-0.04513085534,0.8753253816
0,267,17,0.9723620919,0.07690826178,-0.4224972199,29.8129049
0,267,24,0.0003872719424,5.016915505e-05,0.01406128286,0.7614408813
0,267,34,0.00300469397,0.001400983602,2.306999864,4.023780882
0,267,50,0.0004139632323,4.270751648e-05,-3.025062346,0.7025382189
0,268,5,0.0001694424801,6.877075994e-05,-2.491499255,1.517229239
0,268,17,3.421048609e-05,3.477373548e-08,-0.2723361716,0.03411732439
0,268,24,0.001375130372,0.0001749927511,0.7985373182,2.420244942
0,268,34,5.035372263e-07,1.438071956e-08,-1.706510441,0.0219401504
0,268,50,0.9661254326,0.1780209669,-2.058778507,77.19423533
0,269,5,0.9700361254,0.1508828375,2.280700956,49.18515162
0,269,17,0.0001112719745,5.304363213e-09,1.500845064,0.009222118966
0,269,24,0.000835707281,1.647812555e-05,-1.011820561,0.5140057732
